Ingredient,Description,Category,Substitutes
gyoza wrappers,The Japanese use these round wrappers to make pork-stuffed dumplings similar to Chinese potstickers.  Western cooks sometimes use them to make ravioli.,Food Wrappers,"[{'Substitute': '1 each potsticker wrappers', 'Equivalent': '= 1 each gyoza wrappers', 'Note': '', 'Nutritional value': {'Carbs': '60 g', 'Calories': '283 Cals.', 'Salt': '300 mg', 'Fat': '1.7 g', 'Cholesterol': '8 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '8.3 g', 'Sugars': '0 g', 'Fiber': '1.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 each wonton wrappers', 'Equivalent': '= 1 each gyoza wrappers', 'Note': 'These are thinner than gyoza wrappers.', 'Nutritional value': {'Carbs': '57.9 g', 'Calories': '291 Cals.', 'Salt': '572 mg', 'Fat': '1.5 g', 'Cholesterol': '9 mg', 'Vitamin C': '0 mg', 'Calcium': '47 mg', 'Protein': '9.8 g', 'Sugars': '0 g', 'Fiber': '1.8 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 each egg roll wrapers', 'Equivalent': '= 1 each gyoza wrappers', 'Note': 'These are larger than gyoza wrappers.', 'Nutritional value': {'Carbs': '57.9 g', 'Calories': '291 Cals.', 'Salt': '572 mg', 'Fat': '1.5 g', 'Cholesterol': '9 mg', 'Vitamin C': '0 mg', 'Calcium': '47 mg', 'Protein': '9.8 g', 'Sugars': '0 g', 'Fiber': '1.8 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 each pasta sheet', 'Equivalent': '= 1 each gyoza wrappers', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}]"
gypsum powder,Recipes for ale and mead often call for this.,Miscellaneous,[]
gypsy bacon,This Hungarian specialty consists of a slab of bacon that's been roasted and then seasoned with paprika.  It's then cut into thin slices and served on rye bread.  Look for it in German or Hungarian markets.,Bacon,[]
hönö,These Swedish flatbread is made with rye flour and flavored with aniseed and fennel seed.,Flatbreads,[]
habanero - dried,"Don't confuse dried habaneros with the fresh version, which goes by the same name. These extremely hot chiles are wrinkled and orange.",Dried Chile Peppers,"[{'Substitute': '1 pound chile de árbol dried', 'Equivalent': '= 1 pound habanero - dried', 'Note': '', 'Nutritional value': {'Carbs': '100 g', 'Calories': '1500 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
habanero - fresh,These extremely hot orange chiles have a fruity flavor. They're best in the summertime.,Fresh Chile Peppers,"[{'Substitute': '1 pound Scotch bonnet chili', 'Equivalent': '= 1 pound habanero - fresh', 'Note': 'very close', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound manzana chili', 'Equivalent': '= 1 pound habanero - fresh', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound cayenne pepper - fresh', 'Equivalent': '= 1 pound habanero - fresh', 'Note': '', 'Nutritional value': {'Carbs': '5.1 g', 'Calories': '24 Cals.', 'Salt': '3 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '97 mg', 'Calcium': '9 mg', 'Protein': '0.9 g', 'Sugars': '3 g', 'Fiber': '1.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound jalapeno pepper', 'Equivalent': '= 1 pound habanero - fresh', 'Note': '', 'Nutritional value': {'Carbs': '6.5 g', 'Calories': '29 Cals.', 'Salt': '3 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '118.6 mg', 'Calcium': '12 mg', 'Protein': '0.9 g', 'Sugars': '4.1 g', 'Fiber': '2.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '2 each Serrano pepper', 'Equivalent': '= 1 each habanero - fresh', 'Note': 'use twice as many', 'Nutritional value': {'Carbs': '6.7 g', 'Calories': '32 Cals.', 'Salt': '10 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '44.9 mg', 'Calcium': '11 mg', 'Protein': '1.7 g', 'Sugars': '3.8 g', 'Fiber': '3.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}]"
hackleback roe,This American caviar comes from farm-raised hacklebacks.,Caviar & Roe,"[{'Substitute': '1 pound sevruga caviar gray, not black', 'Equivalent': '= 1 pound hackleback roe', 'Note': '', 'Nutritional value': {'Carbs': '4 g', 'Calories': '264 Cals.', 'Salt': '1500 mg', 'Fat': '17.9 g', 'Cholesterol': '588 mg', 'Vitamin C': '0 mg', 'Calcium': '275 mg', 'Protein': '24.6 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '4.6 g', 'Poly Fats': '7.4 g', 'Saturated Fats': '4.1 g'}}, {'Substitute': '1 pound beluga caviar', 'Equivalent': '= 1 pound hackleback roe', 'Note': 'more expensive, larger grains', 'Nutritional value': {'Carbs': '4 g', 'Calories': '264 Cals.', 'Salt': '1500 mg', 'Fat': '17.9 g', 'Cholesterol': '588 mg', 'Vitamin C': '0 mg', 'Calcium': '275 mg', 'Protein': '24.6 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '4.6 g', 'Poly Fats': '7.4 g', 'Saturated Fats': '4.1 g'}}, {'Substitute': '1 pound paddlefish roe gray, not black', 'Equivalent': '= 1 pound hackleback roe', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '300 Cals.', 'Salt': '1667 mg', 'Fat': '20 g', 'Cholesterol': '633 mg', 'Vitamin C': '0 mg', 'Calcium': '133 mg', 'Protein': '20 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '3.3 g'}}, {'Substitute': '1 pound bowfin roe', 'Equivalent': '= 1 pound hackleback roe', 'Note': 'similar color', 'Nutritional value': {'Carbs': '6.7 g', 'Calories': '267 Cals.', 'Salt': '1600 mg', 'Fat': '20 g', 'Cholesterol': '627 mg', 'Vitamin C': '0 mg', 'Calcium': '267 mg', 'Protein': '26.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '6.7 g'}}]"
haddock,,Codfish,"[{'Substitute': '1 pound cod', 'Equivalent': '= 1 pound haddock', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '82 Cals.', 'Salt': '54 mg', 'Fat': '0.7 g', 'Cholesterol': '43 mg', 'Vitamin C': '1 mg', 'Calcium': '16 mg', 'Protein': '17.8 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound hake', 'Equivalent': '= 1 pound haddock', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '78 Cals.', 'Salt': '100 mg', 'Fat': '0.9 g', 'Cholesterol': '20 mg', 'Vitamin C': '1.1 mg', 'Calcium': '44 mg', 'Protein': '17.5 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound flounder', 'Equivalent': '= 1 pound haddock', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '70 Cals.', 'Salt': '81 mg', 'Fat': '1.9 g', 'Cholesterol': '45 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '12.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.5 g', 'Poly Fats': '0.4 g', 'Saturated Fats': '0.4 g'}}, {'Substitute': '1 pound sole', 'Equivalent': '= 1 pound haddock', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '70 Cals.', 'Salt': '296 mg', 'Fat': '1.9 g', 'Cholesterol': '45 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '12.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.5 g', 'Poly Fats': '0.4 g', 'Saturated Fats': '0.4 g'}}]"
haddock roe,,Caviar & Roe,"[{'Substitute': '1 pound shad roe', 'Equivalent': '= 1 pound haddock roe', 'Note': '', 'Nutritional value': {'Carbs': '1.5 g', 'Calories': '143 Cals.', 'Salt': '91 mg', 'Fat': '6.4 g', 'Cholesterol': '374 mg', 'Vitamin C': '16 mg', 'Calcium': '22 mg', 'Protein': '22.3 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '1.7 g', 'Poly Fats': '2.7 g', 'Saturated Fats': '1.5 g'}}]"
haggis,"This large Scottish sausage is made by stuffing a sheep's stomach with the animal's heart, lungs, and liver, and then adding oatmeal, onion, fat, and seasonings. It's usually steamed before serving.",Sausages,[]
hair vegetable,The Chinese add this to soups and use it as a garnish.  Look for it in Chinese markets and pharmacies. It grows in the Gobi Desert.,Other Vegetables,[]
hake,,Codfish,"[{'Substitute': '1 pound haddock', 'Equivalent': '= 1 pound hake', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '74 Cals.', 'Salt': '213 mg', 'Fat': '0.5 g', 'Cholesterol': '54 mg', 'Vitamin C': '0 mg', 'Calcium': '11 mg', 'Protein': '16.3 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound cod', 'Equivalent': '= 1 pound hake', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '82 Cals.', 'Salt': '54 mg', 'Fat': '0.7 g', 'Cholesterol': '43 mg', 'Vitamin C': '1 mg', 'Calcium': '16 mg', 'Protein': '17.8 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound sole', 'Equivalent': '= 1 pound hake', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '70 Cals.', 'Salt': '296 mg', 'Fat': '1.9 g', 'Cholesterol': '45 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '12.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.5 g', 'Poly Fats': '0.4 g', 'Saturated Fats': '0.4 g'}}, {'Substitute': '1 pound halibut', 'Equivalent': '= 1 pound hake', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '91 Cals.', 'Salt': '68 mg', 'Fat': '1.3 g', 'Cholesterol': '49 mg', 'Vitamin C': '0 mg', 'Calcium': '7 mg', 'Protein': '18.6 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.5 g', 'Poly Fats': '0.3 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 pound tilefish', 'Equivalent': '= 1 pound hake', 'Note': 'firmer texture', 'Nutritional value': {'Carbs': '0 g', 'Calories': '96 Cals.', 'Salt': '53 mg', 'Fat': '2.3 g', 'Cholesterol': '50 mg', 'Vitamin C': '0 mg', 'Calcium': '26 mg', 'Protein': '17.5 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.6 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.4 g'}}]"
halawi dates,These amber-colored sweet chewy halawi dates are grown extensively in Iraq.,Dates,"[{'Substitute': '1 pound dates', 'Equivalent': '= 1 pound halawi dates', 'Note': '', 'Nutritional value': {'Carbs': '75 g', 'Calories': '282 Cals.', 'Salt': '2 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.4 mg', 'Calcium': '39 mg', 'Protein': '2.5 g', 'Sugars': '63.4 g', 'Fiber': '8 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound raisins', 'Equivalent': '= 1 pound halawi dates', 'Note': '', 'Nutritional value': {'Carbs': '79.2 g', 'Calories': '299 Cals.', 'Salt': '11 mg', 'Fat': '0.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '2.3 mg', 'Calcium': '50 mg', 'Protein': '3.1 g', 'Sugars': '59.2 g', 'Fiber': '3.7 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0 g', 'Saturated Fats': '0.1 g'}}]"
half-and-half,(10.5 - 18% fat),Milk & Cream,"[{'Substitute': '0.5 cups cream + 0.5 cups milk 3.5%', 'Equivalent': '= 1 cup half-and-half', 'Note': '', 'Nutritional value': {'Carbs': '3.8 g', 'Calories': '126 Cals.', 'Salt': '57.5 mg', 'Fat': '11.2 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup evaporated milk', 'Equivalent': '= 1 cup half-and-half', 'Note': '', 'Nutritional value': {'Carbs': '10 g', 'Calories': '134 Cals.', 'Salt': '106 mg', 'Fat': '7.6 g', 'Cholesterol': '29 mg', 'Vitamin C': '1.9 mg', 'Calcium': '261 mg', 'Protein': '6.8 g', 'Sugars': '10 g', 'Fiber': '0 g', 'Mono Fats': '2.3 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '4.6 g'}}, {'Substitute': '1.5 tablespoons butter or margarine + 0.88 cups milk 3.5%', 'Equivalent': '= 1 cup half-and-half', 'Note': '', 'Nutritional value': {'Carbs': '4.5 g', 'Calories': '95.2 Cals.', 'Salt': '74.4 mg', 'Fat': '7.2 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup milk 3.5% + 1 tablespoon corn starch', 'Equivalent': '= 1 cup half-and-half', 'Note': '', 'Nutritional value': {'Carbs': '4.8 g', 'Calories': '61 Cals.', 'Salt': '43 mg', 'Fat': '3.3 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
half ham,"Whole hams are too large for many families to handle, so manufacturers often cut them in half. The butt half = butt end is higher up on the hog, and is meatier, fattier, easier to carve, and more expensive. The shank half = shank end = hock half = hock end is leaner and, some say, sweeter.",Ham,"[{'Substitute': '1 pound ham', 'Equivalent': '= 1 pound half ham', 'Note': '', 'Nutritional value': {'Carbs': '0.2 g', 'Calories': '173 Cals.', 'Salt': '744 mg', 'Fat': '9.2 g', 'Cholesterol': '65 mg', 'Vitamin C': '0 mg', 'Calcium': '12 mg', 'Protein': '22.5 g', 'Sugars': '0.1 g', 'Fiber': '0 g', 'Mono Fats': '4 g', 'Poly Fats': '1.3 g', 'Saturated Fats': '2.9 g'}}]"
halibut,,Flatfish,"[{'Substitute': '1 pound turbot', 'Equivalent': '= 1 pound halibut', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '95 Cals.', 'Salt': '150 mg', 'Fat': '3 g', 'Cholesterol': '48 mg', 'Vitamin C': '1.7 mg', 'Calcium': '18 mg', 'Protein': '16.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.6 g', 'Poly Fats': '0.9 g', 'Saturated Fats': '0.8 g'}}, {'Substitute': '1 pound Sea bass', 'Equivalent': '= 1 pound halibut', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '97 Cals.', 'Salt': '68 mg', 'Fat': '2 g', 'Cholesterol': '41 mg', 'Vitamin C': '0 mg', 'Calcium': '10 mg', 'Protein': '18.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.4 g', 'Poly Fats': '0.7 g', 'Saturated Fats': '0.5 g'}}, {'Substitute': '1 pound tilefish', 'Equivalent': '= 1 pound halibut', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '96 Cals.', 'Salt': '53 mg', 'Fat': '2.3 g', 'Cholesterol': '50 mg', 'Vitamin C': '0 mg', 'Calcium': '26 mg', 'Protein': '17.5 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.6 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.4 g'}}]"
Haloumi,"This salty, crumbly cheese from Cyprus stands up well to heat and can even be fried or grilled. It is made with combination of sheep and goat’s milk. Look for it in Middle Eastern markets.",Semi-Soft Cheeses,"[{'Substitute': '1 pound feta', 'Equivalent': '= 1 pound Haloumi', 'Note': 'similar flavor', 'Nutritional value': {'Carbs': '4.1 g', 'Calories': '264 Cals.', 'Salt': '917 mg', 'Fat': '21.3 g', 'Cholesterol': '89 mg', 'Vitamin C': '0 mg', 'Calcium': '493 mg', 'Protein': '14.2 g', 'Sugars': '4.1 g', 'Fiber': '0 g', 'Mono Fats': '4.6 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '14.9 g'}}, {'Substitute': '1 pound mozzarella', 'Equivalent': '= 1 pound Haloumi', 'Note': 'similar texture', 'Nutritional value': {'Carbs': '2.2 g', 'Calories': '300 Cals.', 'Salt': '627 mg', 'Fat': '22.4 g', 'Cholesterol': '79 mg', 'Vitamin C': '0 mg', 'Calcium': '505 mg', 'Protein': '22.2 g', 'Sugars': '1 g', 'Fiber': '0 g', 'Mono Fats': '6.6 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '13.2 g'}}]"
halvah,"This is a Turkish candy made with ground sesame seeds and honey, often with fruit and nuts added.  Look for it in the deli section of large supermarkets, or in Middle Eastern or Jewish markets.",Candy,[]
ham,"A ham is a pork cut that's taken from a hog's upper hind leg. There are three types of American hams: city hams, country hams, and fresh hams. City hams are the most common. They're soaked in brine (or injected with it) and then boiled or lightly smoked.  Many gourmets prefer country hams, which are dry-cured and then smoked and aged for added flavor. Fresh hams aren't cured at all and need to be cooked. 

America also imports several dry-cured hams from abroad, including prosciutto, Bayonne ham, Serrano ham, Black Forest ham, Westphalian ham, York ham, and Ardennes ham. These hams are similar to our country hams, except that they're often eaten raw while country hams are usually served cooked.  

Ham is relatively low in fat, but even low-salt hams are high in sodium.",Ham,"[{'Substitute': '1 pound Canadian bacon', 'Equivalent': '= 1 pound ham', 'Note': 'usually leaner than ham', 'Nutritional value': {'Carbs': '1.3 g', 'Calories': '110 Cals.', 'Salt': '751 mg', 'Fat': '2.6 g', 'Cholesterol': '48 mg', 'Vitamin C': '0 mg', 'Calcium': '6 mg', 'Protein': '20.3 g', 'Sugars': '0.9 g', 'Fiber': '0 g', 'Mono Fats': '1.1 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '0.9 g'}}, {'Substitute': '1 pound Pork', 'Equivalent': '= 1 pound ham', 'Note': 'A pork loin roast has less sodium than ham.', 'Nutritional value': {'Carbs': '0 g', 'Calories': '748 Cals.', 'Salt': '2684 mg', 'Fat': '80.5 g', 'Cholesterol': '86 mg', 'Vitamin C': '0 mg', 'Calcium': '6 mg', 'Protein': '5.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '37.9 g', 'Poly Fats': '9.4 g', 'Saturated Fats': '29.4 g'}}]"
ham hocks,These come either smoked or fresh.,Miscellaneous Pork Cuts,"[{'Substitute': '1 pound pickled pork', 'Equivalent': '= 1 pound ham hocks', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '140 Cals.', 'Salt': '946 mg', 'Fat': '10 g', 'Cholesterol': '83 mg', 'Vitamin C': '0 mg', 'Calcium': '32 mg', 'Protein': '11.6 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '5.7 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '2.9 g'}}]"
Hami melon,This sweet crisp melon originated in China.,Melons,"[{'Substitute': '1 pound cantaloupe', 'Equivalent': '= 1 pound Hami melon', 'Note': '', 'Nutritional value': {'Carbs': '8.2 g', 'Calories': '34 Cals.', 'Salt': '16 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '36.7 mg', 'Calcium': '9 mg', 'Protein': '0.8 g', 'Sugars': '7.9 g', 'Fiber': '0.9 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound honeydew melon', 'Equivalent': '= 1 pound Hami melon', 'Note': '', 'Nutritional value': {'Carbs': '9.1 g', 'Calories': '36 Cals.', 'Salt': '18 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '18 mg', 'Calcium': '6 mg', 'Protein': '0.5 g', 'Sugars': '8.1 g', 'Fiber': '0.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
hand,"This German washed rind cow's milk cheese is pungent and stinky. It's good with beer, but it would over-power most wines.",Soft Cheeses,"[{'Substitute': '1 pound Mainzer', 'Equivalent': '= 1 pound hand', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound Harzer', 'Equivalent': '= 1 pound hand', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound Limburger', 'Equivalent': '= 1 pound hand', 'Note': '', 'Nutritional value': {'Carbs': '0.5 g', 'Calories': '327 Cals.', 'Salt': '800 mg', 'Fat': '27.2 g', 'Cholesterol': '90 mg', 'Vitamin C': '0 mg', 'Calcium': '497 mg', 'Protein': '20.1 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '8.6 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '16.7 g'}}]"
hand mixer,,"Mashing, Grating, Grinding & Mixing Tools","[{'Substitute': '1 each food processor', 'Equivalent': '= 1 each hand mixer', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 each eggbeater', 'Equivalent': '= 1 each hand mixer', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
hard cider,"This is low-alcohol wine that's made from apples.  It's fairly sweet, and especially popular in Normandy.",Fruit Wine,"[{'Substitute': '1 bottle perry', 'Equivalent': '= 1 bottle hard cider', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 bottle apple cider', 'Equivalent': '= 1 bottle hard cider', 'Note': 'non-alcoholic', 'Nutritional value': {'Carbs': '11.3 g', 'Calories': '46 Cals.', 'Salt': '4 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.9 mg', 'Calcium': '8 mg', 'Protein': '0.1 g', 'Sugars': '9.6 g', 'Fiber': '0.2 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
hardneck garlic,"Hardneck garlic retains the stalk in the center of the bulb. They tend to have stronger flavors and do not store as long as softneck garlic. Hardneck garlics include purple stripe, rocambole, porcelain, and others.",Garlic,"[{'Substitute': '1 clove softneck garlic', 'Equivalent': '= 1 clove hardneck garlic', 'Note': '', 'Nutritional value': {'Carbs': '33.1 g', 'Calories': '149 Cals.', 'Salt': '17 mg', 'Fat': '0.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '31.2 mg', 'Calcium': '181 mg', 'Protein': '6.4 g', 'Sugars': '1 g', 'Fiber': '2.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}]"
hard-shell clam,Littleneck clams are smaller than cherrystone clams which are smaller than quahog clams = quahaug clams = chowder clams which are smaller than ocean quahog clams = ocean quahaug clams = mahogany clams = black clams.,Mollusks - Clams,"[{'Substitute': '1 pound bar clam', 'Equivalent': '= 1 pound hard-shell clam', 'Note': '', 'Nutritional value': {'Carbs': '3.6 g', 'Calories': '86 Cals.', 'Salt': '56 mg', 'Fat': '1 g', 'Cholesterol': '30 mg', 'Vitamin C': '0 mg', 'Calcium': '39 mg', 'Protein': '14.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.2 g'}}, {'Substitute': '1 pound soft-shell clam', 'Equivalent': '= 1 pound hard-shell clam', 'Note': '', 'Nutritional value': {'Carbs': '3.6 g', 'Calories': '86 Cals.', 'Salt': '56 mg', 'Fat': '1 g', 'Cholesterol': '30 mg', 'Vitamin C': '0 mg', 'Calcium': '39 mg', 'Protein': '14.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.2 g'}}]"
hardtack,"Hardtack is an unleavened, unsalted biscuit that sailors used to eat while on long sea voyages.  Since it's very dry, it can be stored for a long time without refrigeration.",Crackers,"[{'Substitute': '1 pound zwieback', 'Equivalent': '= 1 pound hardtack', 'Note': '', 'Nutritional value': {'Carbs': '74.2 g', 'Calories': '426 Cals.', 'Salt': '227 mg', 'Fat': '9.7 g', 'Cholesterol': '8 mg', 'Vitamin C': '5.3 mg', 'Calcium': '20 mg', 'Protein': '10.1 g', 'Sugars': '12.5 g', 'Fiber': '2.5 g', 'Mono Fats': '4.2 g', 'Poly Fats': '2.1 g', 'Saturated Fats': '2.5 g'}}]"
